id,deck_id,grade_band,target_word,marked_word,taboo_1,taboo_2,taboo_3,definition,example_sentence
1,taboo_phonics_g4_5_starter_30,G4-5,climate,cl-i-mate,weather,temperature,region,the usual weather conditions in a place over time,A desert climate stays dry most of the year.
2,taboo_phonics_g4_5_starter_30,G4-5,fraction,fr-ac-tion,math,part,whole,a number that names part of a whole,One fraction of the pizza was left.
3,taboo_phonics_g4_5_starter_30,G4-5,habitat,hab-i-tat,animal,home,environment,the natural home of a plant or animal,A pond is a frog habitat.
4,taboo_phonics_g4_5_starter_30,G4-5,orbit,or-bit,planet,circle,space,the curved path of an object in space,Earth moves in an orbit around the sun.
5,taboo_phonics_g4_5_starter_30,G4-5,process,pro-cess,steps,method,procedure,a series of steps to do something,Writing is a process with many drafts.
6,taboo_phonics_g4_5_starter_30,G4-5,predict,pre-dict,guess,forecast,future,to say what will happen next,We predict rain from dark clouds.
7,taboo_phonics_g4_5_starter_30,G4-5,compare,com-pare,alike,different,contrast,to look for similarities and differences,Compare the two graphs.
8,taboo_phonics_g4_5_starter_30,G4-5,paragraph,par-a-graph,writing,sentences,essay,a group of related sentences about one main idea,Each paragraph has one main idea.
9,taboo_phonics_g4_5_starter_30,G4-5,grammar,gram-mar,language,rules,punctuation,the rules for using words in a language,Good grammar helps readers understand.
10,taboo_phonics_g4_5_starter_30,G4-5,capture,cap-ture,catch,photo,record,"to take, hold, or record something",The camera can capture fast action.
11,taboo_phonics_g4_5_starter_30,G4-5,adventure,ad-ven-ture,trip,journey,exciting,an unusual and exciting experience,Our camping trip felt like an adventure.
12,taboo_phonics_g4_5_starter_30,G4-5,culture,cul-ture,traditions,customs,society,the shared beliefs and customs of a group,Food is part of culture.
13,taboo_phonics_g4_5_starter_30,G4-5,project,pro-ject,assignment,build,presentation,planned work done over time,Our science project tested plant growth.
14,taboo_phonics_g4_5_starter_30,G4-5,review,re-view,study,check,again,to look at something again,Review your notes before the quiz.
15,taboo_phonics_g4_5_starter_30,G4-5,replay,re-play,again,game,video,to play again,We hit replay on the short video.
16,taboo_phonics_g4_5_starter_30,G4-5,transport,trans-port,move,carry,travel,to move people or things from one place to another,Buses transport students to school.
17,taboo_phonics_g4_5_starter_30,G4-5,kindness,kind-ness,nice,care,respect,being friendly and caring to others,Kindness makes classrooms feel safe.
18,taboo_phonics_g4_5_starter_30,G4-5,hopeful,hope-ful,optimism,positive,future,feeling or showing hope,She felt hopeful about the test.
19,taboo_phonics_g4_5_starter_30,G4-5,movement,move-ment,motion,travel,activity,a change in position,The sensor detected movement.
20,taboo_phonics_g4_5_starter_30,G4-5,teacher,teach-er,school,instructor,class,a person who helps students learn,The teacher explained the plan.
21,taboo_phonics_g4_5_starter_30,G4-5,careful,care-ful,safe,cautious,careless,paying close attention to avoid mistakes,Be careful with the glass.
22,taboo_phonics_g4_5_starter_30,G4-5,rewrite,re-write,edit,again,draft,to write again with changes,I will rewrite my opening paragraph.
23,taboo_phonics_g4_5_starter_30,G4-5,disagree,dis-a-gree,argue,different,same,to have a different opinion,I disagree with that idea.
24,taboo_phonics_g4_5_starter_30,G4-5,preview,pre-view,before,watch,look,to look at something before full use,We watched a preview of the film.
25,taboo_phonics_g4_5_starter_30,G4-5,microscope,mi-cro-scope,science,lens,magnify,a tool that makes very small things look bigger,The microscope showed the cells.
26,taboo_phonics_g4_5_starter_30,G4-5,energy,en-er-gy,power,fuel,electricity,the ability to do work or make things happen,Running uses a lot of energy.
27,taboo_phonics_g4_5_starter_30,G4-5,rainfall,rain-fall,weather,precipitation,inches,the amount of rain that falls in a place,Rainfall was high this spring.
28,taboo_phonics_g4_5_starter_30,G4-5,combine,com-bine,mix,join,separate,to join things together,Combine the ingredients in a bowl.
29,taboo_phonics_g4_5_starter_30,G4-5,explain,ex-plain,tell,describe,why,to make an idea clear,Can you explain your answer?
30,taboo_phonics_g4_5_starter_30,G4-5,evidence,ev-i-dence,proof,facts,clue,facts or information that show something is true,Use evidence from the text.
